P1,P2,P3,P4,P5,Label
9.25,7.5,11,0.001125,0.003,1
11,9.25,5.75,0.00175,0.00175,1
11,4,11,0.00175,0.00175,1
11,5.75,5.75,0.00175,0.00175,1
9.25,4,7.5,0.001125,0.003,1
11,4,9.25,0.001125,0.003,1
11,4,7.5,0.001125,0.003,1
9.25,11,11,0.001125,0.00175,1
9.25,11,11,0.00175,0.003,1
9.25,9.25,4,0.00175,0.00175,1
9.25,11,7.5,0.00175,0.0005,1
9.25,5.75,7.5,0.00175,0.001125,1
9.25,9.25,9.25,0.00175,0.0005,1
11,11,4,0.001125,0.003,1
11,4,7.5,0.001125,0.00175,1
11,9.25,11,0.0005,0.003,1
9.25,9.25,7.5,0.001125,0.003,1
9.25,4,11,0.00175,0.0005,1
11,9.25,11,0.00175,0.00175,1
9.25,4,5.75,0.00175,0.001125,1
9.25,9.25,5.75,0.00175,0.00175,1
11,7.5,7.5,0.00175,0.001125,1
11,9.25,7.5,0.00175,0.0005,1
9.25,7.5,7.5,0.00175,0.001125,1
9.25,11,11,0.00175,0.001125,1
9.25,9.25,11,0.001125,0.00175,1
9.25,5.75,7.5,0.00175,0.0005,1
9.25,9.25,11,0.00175,0.00175,1
9.25,9.25,9.25,0.001125,0.003,1
4,11,9.25,0.001125,0.00175,1
11,7.5,5.75,0.00175,0.001125,1
9.25,11,4,0.00175,0.0005,1
11,7.5,4,0.00175,0.00175,1
4,11,11,0.00175,0.001125,1
11,11,11,0.00175,0.001125,1
11,11,7.5,0.00175,0.00175,1
11,7.5,7.5,0.001125,0.003,1
11,9.25,11,0.00175,0.0005,1
9.25,9.25,5.75,0.00175,0.001125,1
5.75,9.25,9.25,0.00175,0.0005,1
11,9.25,7.5,0.001125,0.003,1
5.75,11,9.25,0.001125,0.003,1
11,11,9.25,0.001125,0.00175,1
11,5.75,11,0.00175,0.0005,1
11,11,9.25,0.00175,0.0005,1
11,11,5.75,0.00175,0.00175,1
11,9.25,11,0.001125,0.003,1
9.25,7.5,5.75,0.00175,0.001125,1
5.75,9.25,11,0.00175,0.0005,1
7.5,11,9.25,0.00175,0.001125,1
11,5.75,9.25,0.00175,0.0005,1
7.5,9.25,11,0.00175,0.001125,1
11,11,11,0.00175,0.0005,1
9.25,11,11,0.00175,0.00175,1
11,11,9.25,0.00175,0.003,1
11,4,4,0.00175,0.003,1
9.25,5.75,9.25,0.00175,0.001125,1
5.75,9.25,9.25,0.001125,0.00175,1
11,9.25,5.75,0.00175,0.001125,1
11,11,11,0.0005,0.00175,1
9.25,7.5,4,0.001125,0.00175,1
11,5.75,11,0.001125,0.003,1
11,11,4,0.00175,0.001125,1
11,11,11,0.001125,0.001125,1
5.75,11,11,0.00175,0.00175,1
11,7.5,11,0.00175,0.00175,1
7.5,11,11,0.001125,0.00175,1
9.25,5.75,7.5,0.001125,0.003,1
9.25,11,9.25,0.00175,0.0005,1
11,5.75,9.25,0.001125,0.003,1
11,4,4,0.00175,0.0005,1
11,11,11,0.001125,0.00175,1
9.25,7.5,7.5,0.001125,0.00175,1
9.25,11,9.25,0.0005,0.003,1
9.25,9.25,11,0.001125,0.003,1
9.25,4,11,0.001125,0.003,1
9.25,4,7.5,0.001125,0.00175,1
9.25,5.75,5.75,0.00175,0.0005,1
9.25,5.75,9.25,0.001125,0.003,1
9.25,9.25,9.25,0.00175,0.00175,1
4,11,11,0.001125,0.00175,1
11,5.75,7.5,0.001125,0.003,1
11,5.75,4,0.00175,0.0005,1
5.75,5.75,9.25,0.002375,0.003,1
9.25,5.75,5.75,0.00175,0.00175,1
9.25,4,7.5,0.00175,0.0005,1
11,11,11,0.001125,0.003,1
11,9.25,4,0.00175,0.001125,1
9.25,4,5.75,0.001125,0.002375,1
9.25,5.75,4,0.00175,0.00175,1
11,5.75,7.5,0.001125,0.00175,1
11,5.75,11,0.00175,0.001125,1
5.75,5.75,11,0.002375,0.003,1
4,9.25,9.25,0.00175,0.0005,1
11,7.5,9.25,0.001125,0.003,1
9.25,4,11,0.001125,0.00175,1
9.25,11,5.75,0.001125,0.00175,1
9.25,7.5,5.75,0.00175,0.00175,1
4,9.25,11,0.001125,0.00175,1
11,9.25,11,0.00175,0.002375,1
9.25,5.75,4,0.00175,0.001125,1
11,4,9.25,0.00175,0.0005,1
9.25,9.25,7.5,0.00175,0.001125,1
11,9.25,7.5,0.00175,0.001125,1
4,11,11,0.00175,0.00175,1
9.25,9.25,7.5,0.00175,0.0005,1
9.25,11,11,0.00175,0.0005,1
11,7.5,9.25,0.001125,0.00175,1
11,9.25,9.25,0.00175,0.00175,1
5.75,11,9.25,0.00175,0.001125,1
11,5.75,4,0.00175,0.001125,1
4,9.25,11,0.001125,0.003,1
4,11,11,0.00175,0.0005,1
7.5,11,11,0.00175,0.0005,1
11,7.5,5.75,0.001125,0.00175,1
9.25,11,7.5,0.001125,0.003,1
11,11,11,0.0005,0.003,1
9.25,7.5,4,0.00175,0.001125,1
11,4,5.75,0.001125,0.002375,1
4,11,9.25,0.00175,0.001125,1
9.25,9.25,5.75,0.001125,0.003,1
11,9.25,11,0.00175,0.001125,1
11,4,7.5,0.00175,0.00175,1
11,11,4,0.00175,0.00175,1
9.25,7.5,9.25,0.00175,0.0005,1
9.25,7.5,11,0.00175,0.00175,1
11,7.5,4,0.001125,0.003,1
7.5,11,9.25,0.00175,0.0005,1
9.25,4,9.25,0.001125,0.00175,1
9.25,11,11,0.001125,0.003,1
9.25,11,9.25,0.00175,0.00175,1
11,9.25,9.25,0.001125,0.003,1
9.25,11,11,0.0005,0.002375,1
9.25,7.5,7.5,0.00175,0.0005,1
11,7.5,11,0.001125,0.003,1
11,9.25,11,0.00175,0.003,1
11,11,9.25,0.00175,0.001125,1
7.5,9.25,9.25,0.001125,0.003,1
11,9.25,9.25,0.00175,0.002375,1
7.5,11,11,0.00175,0.003,1
11,11,7.5,0.00175,0.0005,1
7.5,9.25,11,0.001125,0.003,1
11,5.75,11,0.00175,0.00175,1
4,9.25,9.25,0.001125,0.003,1
9.25,7.5,7.5,0.001125,0.003,1
11,5.75,5.75,0.00175,0.001125,1
9.25,5.75,9.25,0.00175,0.0005,1
11,4,4,0.00175,0.00175,1
9.25,9.25,11,0.0005,0.003,1
7.5,11,9.25,0.001125,0.003,1
9.25,4,4,0.00175,0.001125,1
9.25,5.75,4,0.001125,0.002375,1
11,5.75,9.25,0.001125,0.00175,1
9.25,11,9.25,0.001125,0.003,1
11,5.75,7.5,0.0005,0.0005,1
11,7.5,11,0.00175,0.001125,1
11,11,7.5,0.00175,0.001125,1
9.25,7.5,5.75,0.001125,0.003,1
11,11,5.75,0.00175,0.0005,1
11,4,11,0.001125,0.003,1
9.25,7.5,9.25,0.00175,0.001125,1
5.75,11,11,0.001125,0.00175,1
9.25,9.25,4,0.00175,0.001125,1
11,9.25,11,0.0005,0.002375,1
11,5.75,4,0.001125,0.002375,1
9.25,7.5,5.75,0.00175,0.0005,1
5.75,11,11,0.001125,0.003,1
11,5.75,7.5,0.00175,0.0005,1
9.25,11,9.25,0.00175,0.001125,1
5.75,11,11,0.00175,0.0005,1
9.25,4,4,0.00175,0.0005,1
9.25,9.25,9.25,0.00175,0.003,1
11,11,9.25,0.00175,0.00175,1
11,7.5,9.25,0.00175,0.00175,1
11,9.25,9.25,0.00175,0.0005,1
9.25,9.25,9.25,0.00175,0.001125,1
9.25,4,7.5,0.00175,0.001125,1
9.25,9.25,11,0.00175,0.002375,1
4,9.25,9.25,0.001125,0.00175,1
11,7.5,11,0.00175,0.0005,1
9.25,5.75,11,0.00175,0.001125,1
9.25,9.25,4,0.00175,0.0005,1
11,7.5,9.25,0.00175,0.001125,1
9.25,11,5.75,0.001125,0.003,1
11,5.75,7.5,0.00175,0.001125,1
11,4,11,0.00175,0.0005,1
11,7.5,9.25,0.00175,0.0005,1
9.25,7.5,4,0.00175,0.0005,1
4,9.25,11,0.00175,0.001125,1
9.25,11,4,0.001125,0.00175,1
9.25,11,4,0.00175,0.00175,1
9.25,7.5,9.25,0.001125,0.00175,1
9.25,5.75,11,0.00175,0.0005,1
9.25,11,7.5,0.001125,0.00175,1
5.75,11,9.25,0.00175,0.0005,1
11,9.25,5.75,0.00175,0.0005,1
9.25,7.5,5.75,0.001125,0.00175,1
4,11,9.25,0.001125,0.003,1
11,5.75,5.75,0.0005,0.001125,1
11,11,9.25,0.001125,0.003,1
9.25,4,9.25,0.001125,0.003,1
7.5,11,11,0.00175,0.001125,1
9.25,11,9.25,0.001125,0.00175,1
9.25,9.25,11,0.00175,0.0005,1
11,9.25,5.75,0.001125,0.00175,1
11,5.75,9.25,0.00175,0.001125,1
4,9.25,11,0.00175,0.0005,1
9.25,9.25,7.5,0.00175,0.00175,1
5.75,7.5,5.75,0.00175,0.0005,0
5.75,9.25,11,0.00175,0.00175,0
7.5,5.75,5.75,0.0005,0.0005,0
4,4,9.25,0.003,0.0005,0
7.5,9.25,4,0.001125,0.00175,0
7.5,9.25,4,0.00175,0.00175,0
9.25,4,4,0.00175,0.002375,0
11,5.75,7.5,0.003,0.002375,0
11,5.75,11,0.002375,0.00175,0
7.5,5.75,7.5,0.002375,0.002375,0
5.75,11,4,0.001125,0.003,0
7.5,4,9.25,0.002375,0.003,0
9.25,7.5,9.25,0.002375,0.0005,0
7.5,9.25,9.25,0.00175,0.003,0
4,5.75,7.5,0.002375,0.003,0
11,11,4,0.00175,0.002375,0
5.75,11,11,0.0005,0.002375,0
11,5.75,5.75,0.0005,0.002375,0
9.25,4,9.25,0.002375,0.0005,0
5.75,5.75,5.75,0.0005,0.002375,0
11,9.25,7.5,0.003,0.00175,0
5.75,5.75,5.75,0.00175,0.00175,0
7.5,7.5,5.75,0.003,0.002375,0
11,5.75,5.75,0.00175,0.002375,0
5.75,9.25,9.25,0.00175,0.003,0
5.75,9.25,9.25,0.002375,0.001125,0
9.25,11,5.75,0.0005,0.00175,0
9.25,5.75,4,0.001125,0.0005,0
11,7.5,9.25,0.002375,0.003,0
7.5,4,9.25,0.002375,0.0005,0
7.5,9.25,11,0.002375,0.003,0
7.5,11,4,0.0005,0.0005,0
7.5,5.75,5.75,0.003,0.00175,0
9.25,7.5,4,0.001125,0.0005,0
9.25,4,11,0.003,0.00175,0
9.25,9.25,4,0.003,0.002375,0
9.25,9.25,4,0.001125,0.0005,0
11,4,11,0.002375,0.002375,0
4,4,11,0.003,0.0005,0
4,11,9.25,0.00175,0.003,0
5.75,9.25,7.5,0.002375,0.003,0
5.75,7.5,9.25,0.003,0.0005,0
7.5,9.25,5.75,0.0005,0.001125,0
5.75,11,5.75,0.00175,0.002375,0
9.25,5.75,9.25,0.0005,0.00175,0
7.5,7.5,7.5,0.003,0.002375,0
4,9.25,11,0.002375,0.002375,0
7.5,9.25,7.5,0.002375,0.003,0
4,7.5,11,0.00175,0.0005,0
4,5.75,5.75,0.0005,0.0005,0
5.75,9.25,5.75,0.00175,0.002375,0
7.5,5.75,9.25,0.00175,0.003,0
11,4,9.25,0.002375,0.003,0
9.25,5.75,7.5,0.003,0.002375,0
7.5,5.75,9.25,0.00175,0.002375,0
9.25,4,5.75,0.0005,0.002375,0
9.25,11,9.25,0.0005,0.001125,0
7.5,5.75,4,0.003,0.001125,0
5.75,4,9.25,0.00175,0.001125,0
9.25,9.25,4,0.0005,0.001125,0
11,4,5.75,0.003,0.003,0
4,9.25,5.75,0.001125,0.0005,0
4,9.25,9.25,0.0005,0.001125,0
4,7.5,11,0.0005,0.00175,0
11,7.5,7.5,0.00175,0.003,0
5.75,9.25,11,0.001125,0.0005,0
9.25,7.5,11,0.002375,0.001125,0
7.5,9.25,11,0.0005,0.0005,0
7.5,11,7.5,0.00175,0.003,0
5.75,9.25,9.25,0.003,0.001125,0
5.75,11,9.25,0.0005,0.001125,0
4,4,11,0.002375,0.0005,0
11,4,4,0.003,0.003,0
4,11,5.75,0.001125,0.001125,0
7.5,9.25,4,0.001125,0.003,0
4,7.5,7.5,0.002375,0.0005,0
5.75,7.5,11,0.002375,0.003,0
11,4,9.25,0.0005,0.001125,0
9.25,11,11,0.002375,0.001125,0
7.5,7.5,4,0.00175,0.001125,0
7.5,4,9.25,0.003,0.003,0
9.25,9.25,7.5,0.002375,0.001125,0
11,7.5,9.25,0.0005,0.00175,0
11,7.5,11,0.002375,0.003,0
11,7.5,9.25,0.0005,0.003,0
11,5.75,11,0.003,0.0005,0
11,4,9.25,0.002375,0.00175,0
5.75,11,9.25,0.0005,0.003,0
5.75,11,11,0.0005,0.00175,0
7.5,4,7.5,0.0005,0.003,0
7.5,11,9.25,0.0005,0.003,0
11,7.5,5.75,0.00175,0.003,0
7.5,7.5,5.75,0.002375,0.002375,0
11,4,5.75,0.003,0.00175,0
4,5.75,9.25,0.00175,0.0005,0
11,7.5,7.5,0.002375,0.003,0
4,9.25,5.75,0.003,0.002375,0
11,7.5,4,0.00175,0.003,0
7.5,5.75,7.5,0.003,0.0005,0
9.25,5.75,4,0.003,0.003,0
5.75,5.75,11,0.0005,0.001125,0
11,9.25,7.5,0.002375,0.00175,0
9.25,11,9.25,0.003,0.002375,0
4,4,5.75,0.00175,0.003,0
5.75,5.75,7.5,0.00175,0.003,0
9.25,11,11,0.003,0.00175,0
11,5.75,9.25,0.0005,0.002375,0
7.5,9.25,7.5,0.001125,0.00175,0
11,7.5,4,0.003,0.002375,0
9.25,11,4,0.002375,0.0005,0
9.25,5.75,5.75,0.002375,0.0005,0
9.25,7.5,5.75,0.002375,0.001125,0
9.25,7.5,4,0.002375,0.003,0
5.75,4,7.5,0.0005,0.003,0
9.25,5.75,7.5,0.003,0.00175,0
7.5,7.5,5.75,0.001125,0.0005,0
5.75,5.75,9.25,0.001125,0.00175,0
9.25,4,7.5,0.003,0.001125,0
9.25,4,5.75,0.002375,0.00175,0
5.75,5.75,4,0.00175,0.001125,0
9.25,5.75,11,0.002375,0.003,0
4,5.75,4,0.001125,0.003,0
9.25,4,7.5,0.0005,0.001125,0
9.25,7.5,9.25,0.0005,0.001125,0
4,4,5.75,0.003,0.002375,0
11,7.5,9.25,0.0005,0.002375,0
9.25,9.25,4,0.0005,0.002375,0
4,9.25,5.75,0.0005,0.002375,0
4,7.5,4,0.003,0.00175,0
9.25,7.5,9.25,0.0005,0.00175,0
4,7.5,11,0.00175,0.002375,0
11,5.75,7.5,0.0005,0.003,0
9.25,7.5,5.75,0.003,0.003,0
5.75,7.5,11,0.002375,0.0005,0
9.25,7.5,4,0.003,0.0005,0
7.5,9.25,11,0.003,0.0005,0
4,7.5,4,0.001125,0.001125,0
7.5,4,9.25,0.00175,0.002375,0
11,5.75,4,0.003,0.001125,0
11,4,11,0.0005,0.002375,0
5.75,4,9.25,0.003,0.002375,0
9.25,5.75,7.5,0.0005,0.003,0
4,4,11,0.003,0.003,0
4,7.5,7.5,0.0005,0.003,0
9.25,5.75,9.25,0.0005,0.0005,0
4,9.25,7.5,0.0005,0.002375,0
5.75,4,11,0.00175,0.003,0
11,9.25,7.5,0.001125,0.0005,0
5.75,9.25,9.25,0.0005,0.0005,0
5.75,11,5.75,0.0005,0.001125,0
5.75,4,5.75,0.0005,0.001125,0
4,9.25,9.25,0.002375,0.003,0
11,11,4,0.002375,0.00175,0
9.25,4,9.25,0.00175,0.002375,0
9.25,11,5.75,0.0005,0.003,0
7.5,4,9.25,0.001125,0.003,0
4,4,7.5,0.002375,0.0005,0
11,11,5.75,0.003,0.003,0
9.25,7.5,7.5,0.0005,0.00175,0
11,7.5,7.5,0.003,0.0005,0
11,7.5,5.75,0.002375,0.003,0
11,4,7.5,0.002375,0.001125,0
5.75,7.5,4,0.003,0.00175,0
4,9.25,5.75,0.00175,0.00175,0
9.25,9.25,5.75,0.0005,0.001125,0
7.5,11,4,0.00175,0.002375,0
7.5,4,7.5,0.003,0.0005,0
7.5,7.5,4,0.001125,0.0005,0
9.25,4,11,0.001125,0.0005,0
11,4,4,0.003,0.001125,0
5.75,4,9.25,0.0005,0.002375,0
11,4,7.5,0.0005,0.002375,0
4,4,4,0.001125,0.001125,0
11,9.25,4,0.002375,0.00175,0
11,11,4,0.002375,0.001125,0
5.75,9.25,4,0.00175,0.001125,0
7.5,7.5,4,0.00175,0.003,0
7.5,11,11,0.003,0.0005,0
11,7.5,7.5,0.0005,0.0005,0
9.25,7.5,4,0.0005,0.001125,0
7.5,4,5.75,0.00175,0.002375,0
11,7.5,11,0.002375,0.00175,0
7.5,11,11,0.001125,0.0005,0
7.5,9.25,5.75,0.001125,0.00175,0
9.25,4,9.25,0.001125,0.0005,0
9.25,5.75,4,0.0005,0.003,0
5.75,11,4,0.001125,0.0005,0
9.25,4,4,0.001125,0.0005,0
7.5,7.5,4,0.002375,0.0005,0
7.5,4,4,0.003,0.001125,0
9.25,5.75,5.75,0.0005,0.00175,0
7.5,5.75,5.75,0.00175,0.00175,0
9.25,7.5,4,0.00175,0.002375,0
9.25,7.5,4,0.002375,0.0005,0
7.5,9.25,9.25,0.003,0.003,0
4,5.75,4,0.0005,0.0005,0
11,5.75,11,0.0005,0.0005,0
9.25,5.75,9.25,0.0005,0.001125,0
4,9.25,5.75,0.001125,0.001125,0
5.75,4,7.5,0.002375,0.00175,0
5.75,7.5,7.5,0.00175,0.0005,0
7.5,4,5.75,0.0005,0.002375,0
5.75,9.25,5.75,0.0005,0.003,0
11,11,9.25,0.002375,0.002375,0
11,9.25,11,0.0005,0.0005,0
9.25,11,4,0.003,0.0005,0
4,4,7.5,0.002375,0.001125,0
5.75,4,11,0.00175,0.0005,0
11,9.25,4,0.002375,0.002375,0
9.25,9.25,9.25,0.003,0.001125,0
5.75,11,9.25,0.002375,0.00175,0
5.75,11,9.25,0.003,0.002375,0
5.75,7.5,7.5,0.0005,0.003,0
11,5.75,7.5,0.00175,0.002375,0
4,4,11,0.001125,0.00175,0
11,7.5,11,0.001125,0.0005,0
7.5,4,7.5,0.001125,0.00175,0
5.75,9.25,5.75,0.00175,0.00175,0
9.25,11,4,0.002375,0.001125,0
4,11,7.5,0.002375,0.002375,0
11,4,4,0.0005,0.003,0
11,7.5,9.25,0.003,0.001125,0
11,5.75,7.5,0.0005,0.002375,0
4,4,7.5,0.0005,0.003,0
11,11,7.5,0.0005,0.00175,0
4,11,11,0.003,0.0005,0
11,5.75,11,0.00175,0.003,0
7.5,7.5,7.5,0.0005,0.003,0
7.5,5.75,11,0.0005,0.00175,0
9.25,5.75,4,0.002375,0.0005,0
11,11,7.5,0.0005,0.002375,0
4,9.25,4,0.0005,0.0005,0
7.5,11,4,0.002375,0.001125,0
5.75,7.5,7.5,0.00175,0.003,0
11,5.75,4,0.00175,0.003,0
7.5,4,11,0.003,0.001125,0
11,4,7.5,0.0005,0.00175,0
11,9.25,5.75,0.0005,0.002375,0
7.5,4,11,0.0005,0.0005,0
5.75,9.25,11,0.002375,0.002375,0
11,11,7.5,0.001125,0.0005,0
7.5,7.5,5.75,0.002375,0.00175,0
7.5,9.25,7.5,0.00175,0.002375,0
7.5,9.25,9.25,0.001125,0.0005,0
5.75,7.5,5.75,0.0005,0.0005,0
4,7.5,11,0.003,0.0005,0
11,4,9.25,0.0005,0.002375,0
4,7.5,7.5,0.003,0.0005,0
5.75,11,7.5,0.0005,0.0005,0
5.75,5.75,11,0.003,0.003,0
4,5.75,4,0.00175,0.0005,0
5.75,9.25,9.25,0.002375,0.003,0
5.75,4,11,0.00175,0.001125,0
11,4,11,0.003,0.001125,0
4,11,11,0.002375,0.0005,0
5.75,5.75,9.25,0.001125,0.0005,0
11,7.5,7.5,0.00175,0.002375,0
4,7.5,5.75,0.00175,0.0005,0
11,4,4,0.003,0.0005,0
11,5.75,4,0.003,0.00175,0
11,5.75,9.25,0.00175,0.003,0
5.75,5.75,5.75,0.003,0.002375,0
11,11,4,0.003,0.00175,0
4,7.5,11,0.002375,0.003,0
5.75,11,7.5,0.001125,0.003,0
7.5,5.75,11,0.003,0.003,0
4,7.5,4,0.00175,0.0005,0
5.75,11,11,0.002375,0.003,0
7.5,4,4,0.00175,0.003,0
9.25,9.25,7.5,0.0005,0.002375,0
4,7.5,11,0.001125,0.003,0
4,4,9.25,0.001125,0.00175,0
9.25,7.5,4,0.0005,0.00175,0
4,4,4,0.00175,0.001125,0
7.5,9.25,5.75,0.00175,0.003,0
5.75,11,11,0.00175,0.002375,0
5.75,5.75,9.25,0.003,0.003,0
4,7.5,9.25,0.003,0.00175,0
11,4,5.75,0.003,0.0005,0
4,5.75,5.75,0.001125,0.003,0
11,7.5,11,0.003,0.002375,0
4,5.75,9.25,0.0005,0.002375,0
11,9.25,11,0.003,0.00175,0
11,11,5.75,0.002375,0.001125,0
9.25,9.25,5.75,0.003,0.003,0
9.25,11,9.25,0.0005,0.002375,0
9.25,7.5,9.25,0.002375,0.001125,0
7.5,11,5.75,0.0005,0.002375,0
5.75,9.25,4,0.00175,0.003,0
4,5.75,5.75,0.003,0.003,0
9.25,9.25,5.75,0.003,0.0005,0
9.25,9.25,9.25,0.002375,0.003,0
7.5,4,5.75,0.003,0.002375,0
7.5,7.5,5.75,0.002375,0.003,0
11,11,5.75,0.0005,0.002375,0
9.25,11,11,0.0005,0.00175,0
4,4,4,0.0005,0.0005,0
5.75,5.75,4,0.00175,0.002375,0
9.25,5.75,5.75,0.003,0.002375,0
7.5,5.75,7.5,0.00175,0.001125,0
5.75,9.25,7.5,0.00175,0.002375,0
5.75,4,9.25,0.001125,0.00175,0
9.25,9.25,7.5,0.003,0.002375,0
7.5,11,9.25,0.002375,0.001125,0
4,11,4,0.00175,0.002375,0
5.75,7.5,9.25,0.003,0.00175,0
4,4,11,0.00175,0.001125,0
11,11,9.25,0.002375,0.003,0
5.75,7.5,11,0.003,0.001125,0
5.75,11,4,0.00175,0.002375,0
5.75,5.75,5.75,0.00175,0.003,0
4,9.25,5.75,0.00175,0.003,0
4,7.5,4,0.00175,0.002375,0
4,5.75,5.75,0.00175,0.0005,0
5.75,9.25,9.25,0.00175,0.002375,0
4,7.5,9.25,0.001125,0.00175,0
9.25,11,5.75,0.003,0.00175,0
4,4,5.75,0.0005,0.0005,0
7.5,7.5,7.5,0.001125,0.00175,0
5.75,7.5,5.75,0.00175,0.001125,0
9.25,7.5,4,0.002375,0.001125,0
7.5,9.25,4,0.0005,0.003,0
5.75,7.5,5.75,0.0005,0.001125,0
11,11,5.75,0.002375,0.003,0
5.75,7.5,5.75,0.001125,0.003,0
7.5,7.5,7.5,0.001125,0.0005,0
9.25,4,11,0.003,0.0005,0
4,9.25,11,0.00175,0.00175,0
5.75,9.25,5.75,0.0005,0.002375,0
11,11,4,0.0005,0.00175,0
11,4,11,0.00175,0.002375,0
7.5,7.5,11,0.00175,0.00175,0
11,9.25,9.25,0.003,0.003,0
5.75,4,5.75,0.00175,0.001125,0
5.75,5.75,11,0.00175,0.0005,0
11,11,9.25,0.002375,0.0005,0
5.75,5.75,7.5,0.001125,0.003,0
11,7.5,11,0.002375,0.0005,0
5.75,7.5,4,0.0005,0.0005,0
11,11,4,0.002375,0.003,0
11,7.5,9.25,0.001125,0.0005,0
